Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual
Renault KWID RXT,Jaipur,2016,4152,First,25.17 kmpl,799 CC,53.3 bhp,5.0,,3.15,False,False,True,False,True
Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,First,21.66 kmpl,1498 CC,108.62 bhp,5.0,10.04 Lakh,6.45,True,False,False,False,True
Volkswagen Polo Diesel Comfortline 1.2L,Ahmedabad,2013,55000,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,4.25,True,False,False,False,True
Maruti Alto 800 LXI,Hyderabad,2014,58500,First,22.74 kmpl,796 CC,47.3 bhp,5.0,,2.75,False,False,True,False,True
Hyundai i20 Asta Option 1.2,Kochi,2017,58620,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,7.14,False,False,True,False,True
Hyundai i20 1.2 Sportz,Jaipur,2012,71172,Third,17.0 kmpl,1197 CC,80 bhp,5.0,,3.5,False,False,True,False,True
Hyundai i20 1.4 Asta,Chennai,2017,12000,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,,7.3,True,False,False,False,True
Maruti Wagon R LXI Optional,Kolkata,2014,25000,First,20.51 kmpl,998 CC,67.04 bhp,5.0,,2.75,False,False,True,False,True
Hyundai i20 1.4 Asta Option,Bangalore,2017,43000,Second,22.54 kmpl,1396 CC,88.73 bhp,5.0,,8.2,True,False,False,False,True
Volkswagen Polo GT TSI,Mumbai,2015,57022,First,17.21 kmpl,1197 CC,103.6 bhp,5.0,,6.51,False,False,True,True,False
Ford Figo Diesel Titanium,Pune,2015,92000,First,20.0 kmpl,1399 CC,68.05 bhp,5.0,,4.25,True,False,False,False,True
Maruti Swift ZXI,Coimbatore,2014,33372,Second,18.6 kmpl,1197 CC,85.8 bhp,5.0,,6.21,False,False,True,False,True
Hyundai Grand i10 CRDi Magna,Kochi,2016,52625,First,24.0 kmpl,1120 CC,70 bhp,5.0,,4.58,True,False,False,False,True
Mahindra Xylo H4,Chennai,2016,215000,First,14.02 kmpl,2179 CC,118.3 bhp,7.0,11.67 Lakh,7.5,True,False,False,False,True
Hyundai i10 Magna 1.1,Coimbatore,2014,60138,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,,4.09,False,False,True,False,True
Skoda Octavia Elegance 2.0 TDI AT,Mumbai,2014,84000,First,19.3 kmpl,1968 CC,141 bhp,5.0,,10.75,True,False,False,True,False
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2014,47000,First,15.97 kmpl,2993 CC,258 bhp,7.0,,41.5,True,False,False,True,False
Maruti Celerio VXI AT,Hyderabad,2014,33450,First,23.1 kmpl,998 CC,67.04 bhp,5.0,,4.4,False,False,True,True,False
Volkswagen Vento Diesel Comfortline,Jaipur,2013,125000,Second,20.54 kmpl,1598 CC,103.6 bhp,5.0,,6.25,True,False,False,False,True
BMW 3 Series 320d Highline,Pune,2011,99606,Second,16.07 kmpl,1995 CC,181 bhp,5.0,,10.5,True,False,False,True,False
Maruti Ertiga ZDI,Mumbai,2014,64000,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,,7.25,True,False,False,False,True
Ford Figo Diesel ZXI,Hyderabad,2013,51000,First,20.0 kmpl,1399 CC,68.05 bhp,5.0,,3.2,True,False,False,False,True
Volkswagen Polo 1.2 MPI Highline,Mumbai,2014,57000,First,16.47 kmpl,1198 CC,74 bhp,5.0,,3.95,False,False,True,False,True
Audi A6 3.0 TDI quattro,Coimbatore,2009,48040,Second,16.77 kmpl,2967 CC,241.38 bhp,5.0,,12.07,True,False,False,True,False
Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,25.52 Lakh,18.6,True,False,False,False,True
Hyundai Verna 1.6 CRDi EX AT,Delhi,2013,66000,First,22.32 kmpl,1582 CC,126.3 bhp,5.0,,5.7,True,False,False,True,False
Hyundai Santro Xing GL Plus,Kolkata,2013,31000,First,17.92 kmpl,1086 CC,62.1 bhp,5.0,,1.75,False,False,True,False,True
Audi A4 2.0 TDI,Delhi,2011,46000,Second,16.55 kmpl,1968 CC,147.51 bhp,5.0,,10.99,True,False,False,True,False
Audi A4 2.0 TDI,Kolkata,2012,47346,First,16.55 kmpl,1968 CC,147.51 bhp,5.0,,14.5,True,False,False,True,False
Skoda Laura 1.9 TDI MT Ambiente,Jaipur,2009,100000,First,17.0 kmpl,1896 CC,105 bhp,5.0,,3.11,True,False,False,False,True
Honda CR-V 2.0L 2WD AT,Coimbatore,2015,63856,First,13.7 kmpl,1997 CC,153.86 bhp,5.0,,13.96,False,False,True,True,False
Hyundai Verna 1.6 SX CRDi (O),Coimbatore,2015,72996,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,7.11,True,False,False,False,True
Honda Mobilio RS i DTEC,Chennai,2014,23000,First,24.5 kmpl,1498 CC,98.6 bhp,7.0,,6.9,True,False,False,False,True
Hyundai i20 1.2 Asta Option,Coimbatore,2018,15985,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,7.77,False,False,True,False,True
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Kolkata,2011,98000,Second,12.8 kmpl,2494 CC,102 bhp,8.0,,5.5,True,False,False,False,True
Hyundai i20 Magna 1.2,Hyderabad,2014,70089,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,5.35,False,False,True,False,True
Mahindra Bolero VLX BS IV,Chennai,2011,99000,Second,13.6 kmpl,2523 CC,63 bhp,7.0,,4.5,True,False,False,False,True
Volkswagen Vento 1.5 TDI Comfortline,Jaipur,2014,72000,First,20.34 kmpl,1498 CC,103.2 bhp,5.0,,4.75,True,False,False,False,True
Jaguar XF 2.2 Litre Luxury,Coimbatore,2015,44194,First,16.36 kmpl,2179 CC,187.7 bhp,5.0,,32.8,True,False,False,True,False
Maruti Zen LXi - BS III,Mumbai,2005,102000,First,17.3 kmpl,993 CC,60 bhp,5.0,,0.7,False,False,True,False,True
Mercedes-Benz E-Class Facelift,Coimbatore,2018,56652,First,13.0 kmpl,2987 CC,258 bhp,5.0,,50.29,True,False,False,True,False
Toyota Fortuner 3.0 Diesel,Mumbai,2010,41650,Second,11.5 kmpl,2982 CC,171 bhp,7.0,,10.99,True,False,False,False,True
Hyundai Grand i10 AT Asta,Coimbatore,2015,61717,First,18.9 kmpl,1197 CC,82 bhp,5.0,,5.57,False,False,True,True,False
Hyundai Xcent 1.2 CRDi S,Jaipur,2018,25302,First,25.4 kmpl,1186 CC,73.97 bhp,5.0,8.56 Lakh,5.9,True,False,False,False,True
Hyundai Creta 1.6 VTVT S,Coimbatore,2016,47016,First,15.29 kmpl,1591 CC,121.3 bhp,5.0,,9.43,False,False,True,False,True
Hyundai i10 Sportz,Bangalore,2010,69000,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.9,False,False,True,False,True
Honda Brio S MT,Delhi,2016,32700,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,3.68,False,False,True,False,True
Toyota Fortuner 4x2 AT,Coimbatore,2015,101337,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,,21.67,True,False,False,True,False
Audi A4 2.0 TDI Multitronic,Ahmedabad,2011,59000,First,16.55 kmpl,1968 CC,140 bhp,5.0,,12.5,True,False,False,True,False
Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,27 Lakh,19.92,True,False,False,True,False
Honda City i DTEC VX,Jaipur,2014,71649,First,25.1 kmpl,1498 CC,98.6 bhp,5.0,,6.75,True,False,False,False,True
Honda City i DTEC VX,Kochi,2015,80606,First,25.1 kmpl,1498 CC,98.6 bhp,5.0,,6.96,True,False,False,False,True
Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,First,21.7 kmpl,999 CC,67 bhp,5.0,4.78 Lakh,3.25,False,False,True,False,True
Maruti Swift DDiS ZDI Plus,Hyderabad,2018,5456,First,28.4 kmpl,1248 CC,74 bhp,5.0,,8.65,True,False,False,False,True
Maruti Celerio VXI Optional AMT,Pune,2017,7500,First,23.1 kmpl,998 CC,67.04 bhp,5.0,6.14 Lakh,5.0,False,False,True,True,False
Mahindra XUV500 W8 2WD,Delhi,2011,66000,First,15.1 kmpl,2179 CC,140 bhp,7.0,,5.5,True,False,False,False,True
Hyundai i10 Magna,Jaipur,2010,66770,Second,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.6,False,False,True,False,True
Hyundai i10 Magna 1.1,Kochi,2014,58472,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,,3.41,False,False,True,False,True
Maruti Dzire VXI,Kolkata,2011,46687,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,7.3 Lakh,2.7,False,False,True,False,True
Maruti Grand Vitara AT,Chennai,2008,77000,Fourth & Above,9.7 kmpl,1995 CC,163.5 bhp,5.0,,5.5,False,False,True,True,False
Audi TT 40 TFSI,Kolkata,2012,7000,First,14.33 kmpl,1984 CC,226.6 bhp,4.0,,35.0,False,False,True,True,False
Mercedes-Benz New C-Class C 200 CGI,Mumbai,2011,48000,Second,14.74 kmpl,1991 CC,184 bhp,5.0,,9.75,False,False,True,True,False
Nissan Sunny 2011-2014 Diesel XV,Mumbai,2013,47000,First,21.64 kmpl,1461 CC,84.8 bhp,5.0,,4.25,True,False,False,False,True
Maruti Wagon R LXI,Ahmedabad,2015,51530,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,3.2,False,False,True,False,True
Maruti Swift Dzire ZDI,Bangalore,2014,25789,Second,23.4 kmpl,1248 CC,74 bhp,5.0,,6.85,True,False,False,False,True
Honda Amaze S i-Dtech,Delhi,2015,48000,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,4.5,True,False,False,False,True
Maruti Swift ZDI,Delhi,2012,52000,First,28.4 kmpl,1248 CC,74 bhp,5.0,,3.55,True,False,False,False,True
Mahindra Scorpio LX 2.6 Turbo,Hyderabad,2008,131000,First,10.5 kmpl,2609 CC,120 bhp,7.0,,3.6,True,False,False,False,True
Mercedes-Benz E-Class E250 CDI Avantgrade,Kochi,2015,42076,First,13.0 kmpl,2143 CC,201.1 bhp,5.0,,21.8,True,False,False,True,False
Toyota Fortuner 4x2 Manual,Mumbai,2012,76000,Second,13.0 kmpl,2982 CC,168.5 bhp,7.0,,13.5,True,False,False,False,True
Datsun redi-GO T Option,Bangalore,2016,20487,First,22.7 kmpl,799 CC,53.64 bhp,5.0,4.37 Lakh,2.66,False,False,True,False,True
Honda City V MT,Delhi,2010,43000,Second,16.8 kmpl,1497 CC,116.3 bhp,5.0,,3.75,False,False,True,False,True
Toyota Camry Hybrid,Pune,2018,17000,First,19.16 kmpl,2494 CC,158.2 bhp,5.0,,32.0,False,False,True,True,False
Honda City i DTec V,Coimbatore,2016,60805,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,,8.07,True,False,False,False,True
Volkswagen Jetta 2012-2014 2.0L TDI Trendline,Kochi,2012,58775,First,19.33 kmpl,1968 CC,138.1 bhp,5.0,,5.64,True,False,False,False,True
Audi A6 2011-2015 2.0 TDI,Hyderabad,2013,70181,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,,23.99,True,False,False,True,False
Maruti Ertiga VDI,Coimbatore,2016,85827,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,,7.5,True,False,False,False,True
Mercedes-Benz New C-Class C 220 CDI Style,Jaipur,2016,58205,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,,27.0,True,False,False,True,False
Maruti Swift Dzire Vdi BSIV,Mumbai,2008,91000,Second,19.3 kmpl,1248 CC,73.9 bhp,5.0,,2.85,True,False,False,False,True
Renault Duster 110PS Diesel RxZ Pack,Pune,2012,74000,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,6.35,True,False,False,False,True
Maruti Ritz VDi,Hyderabad,2010,79324,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,,3.3,True,False,False,False,True
Maruti Swift Dzire VXI,Bangalore,2013,38623,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,,5.0,False,False,True,False,True
Maruti Swift ZDi,Coimbatore,2014,59923,First,22.9 kmpl,1248 CC,74 bhp,5.0,,6.46,True,False,False,False,True
Hyundai EON Sportz,Jaipur,2017,23360,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,3.75,False,False,True,False,True
Maruti Zen VXI BSII,Kochi,2003,61495,Third,17.3 kmpl,993 CC,60 bhp,5.0,,1.52,False,False,True,False,True
Maruti Eeco 7 Seater Standard,Coimbatore,2012,56661,First,15.1 kmpl,1196 CC,73 bhp,7.0,4.98 Lakh,3.61,False,False,True,False,True
Audi Q5 30 TDI quattro Premium,Coimbatore,2017,40318,First,14.16 kmpl,1968 CC,174.3 bhp,5.0,,43.74,True,False,False,True,False
Audi Q3 2.0 TDI,Chennai,2014,60000,First,15.73 kmpl,1968 CC,174.33 bhp,5.0,,20.0,True,False,False,True,False
Maruti Swift Dzire VDi,Hyderabad,2010,130000,First,19.3 kmpl,1248 CC,73.9 bhp,5.0,,3.65,True,False,False,False,True
Tata Sumo DX,Mumbai,2013,20000,First,14.07 kmpl,1978 CC,83.1 bhp,10.0,,5.25,True,False,False,False,True
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Hyderabad,2016,76000,First,15.97 kmpl,2993 CC,258 bhp,7.0,,58.0,True,False,False,True,False
Honda City i-VTEC CVT VX,Mumbai,2015,30000,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,15.29 Lakh,8.65,False,False,True,True,False
Tata Indigo eCS eLX BS IV,Delhi,2015,150000,First,25.0 kmpl,1396 CC,69.01 bhp,5.0,,2.5,True,False,False,False,True
Volkswagen Vento TSI,Chennai,2014,28000,First,16.93 kmpl,1197 CC,103.6 bhp,5.0,,7.75,False,False,True,True,False
Maruti Celerio VXI,Bangalore,2015,74000,First,23.1 kmpl,998 CC,67.04 bhp,5.0,,4.15,False,False,True,False,True
Toyota Fortuner 3.0 Diesel,Delhi,2011,75000,First,11.5 kmpl,2982 CC,171 bhp,7.0,,10.85,True,False,False,False,True
Mitsubishi Outlander 2.4,Delhi,2010,76000,Second,11.3 kmpl,2360 CC,170 bhp,5.0,,5.53,False,False,True,True,False
Volkswagen Jetta 2007-2011 1.9 Highline TDI,Pune,2014,64889,First,15.5 kmpl,1896 CC,105 bhp,5.0,,11.5,True,False,False,True,False
Hyundai Creta 1.6 CRDi SX,Kolkata,2015,43000,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,9.25,True,False,False,False,True
Skoda Fabia 1.2 MPI Ambiente Petrol,Pune,2011,47490,First,17.5 kmpl,1198 CC,75 bhp,5.0,,2.29,False,False,True,False,True
Ford EcoSport 1.5 TDCi Titanium,Chennai,2015,80000,First,22.77 kmpl,1498 CC,98.59 bhp,5.0,,7.0,True,False,False,False,True
Maruti Zen Estilo 1.1 LXI BSIII,Bangalore,2007,60000,Second,18.2 kmpl,1061 CC,64 bhp,5.0,,1.65,False,False,True,False,True
Maruti Ciaz 1.4 Delta,Ahmedabad,2017,6006,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,,8.25,False,False,True,False,True
Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Kochi,2011,71703,First,14.74 kmpl,1991 CC,181.03 bhp,5.0,,9.14,False,False,True,True,False
Honda Amaze SX i-VTEC,Hyderabad,2016,33000,First,17.8 kmpl,1198 CC,86.7 bhp,5.0,,6.5,False,False,True,False,True
Renault Duster 85PS Diesel RxL,Jaipur,2015,91000,First,19.87 kmpl,1461 CC,83.8 bhp,5.0,,5.75,True,False,False,False,True
Volkswagen Polo Petrol Highline 1.2L,Kolkata,2011,43000,Second,16.47 kmpl,1198 CC,73.9 bhp,5.0,,2.1,False,False,True,False,True
Hyundai Creta 1.6 SX Plus Diesel,Coimbatore,2017,63770,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,13.55,True,False,False,False,True
Jaguar XF Diesel,Kolkata,2012,43510,First,14.74 kmpl,2993 CC,270.9 bhp,5.0,,20.5,True,False,False,True,False
Jeep Compass 2.0 Limited 4X4,Mumbai,2017,52000,First,16.3 kmpl,1956 CC,170 bhp,5.0,24.26 Lakh,20.0,True,False,False,False,True
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,First,15.68 kmpl,1999 CC,177 bhp,5.0,75.12 Lakh,59.72,True,False,False,True,False
Maruti Baleno Alpha Diesel,Kolkata,2016,29000,First,27.39 kmpl,1248 CC,74 bhp,5.0,9.53 Lakh,6.5,True,False,False,False,True
Maruti Ciaz ZDi SHVS,Ahmedabad,2016,56000,First,28.09 kmpl,1248 CC,88.5 bhp,5.0,,7.5,True,False,False,False,True
Maruti SX4 Vxi BSIII,Jaipur,2007,76000,Second,15.0 kmpl,1586 CC,104.68 bhp,5.0,,2.15,False,False,True,False,True
Hyundai Elantra CRDi SX,Coimbatore,2015,53615,First,22.7 kmpl,1582 CC,126.24 bhp,5.0,,8.44,True,False,False,False,True
Mitsubishi Pajero Sport 4X4,Bangalore,2013,132000,First,13.5 kmpl,2477 CC,175.56 bhp,7.0,34.6 Lakh,12.49,True,False,False,False,True
Volkswagen Ameo 1.2 MPI Comfortline,Pune,2017,14800,First,17.0 kmpl,1198 CC,73.75 bhp,5.0,,5.48,False,False,True,False,True
Maruti Ritz VXi,Hyderabad,2013,35433,First,18.5 kmpl,1197 CC,85.80 bhp,5.0,,4.2,False,False,True,False,True
Hyundai Verna CRDi SX,Hyderabad,2013,82966,First,16.8 kmpl,1493 CC,110 bhp,5.0,,7.2,True,False,False,False,True
Maruti Swift Dzire Tour LDI,Jaipur,2014,96000,First,23.4 kmpl,1248 CC,74 bhp,5.0,,4.8,True,False,False,False,True
Mahindra KUV 100 mFALCON D75 K6,Kochi,2017,39528,First,25.32 kmpl,1198 CC,77 bhp,6.0,,5.83,True,False,False,False,True
Toyota Innova Crysta 2.4 ZX MT,Coimbatore,2018,92056,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,26.45 Lakh,18.39,True,False,False,False,True
Maruti Baleno Delta 1.2,Pune,2016,14930,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,,5.85,False,False,True,False,True
Honda Jazz VX Diesel,Mumbai,2016,38000,First,27.3 kmpl,1498 CC,98.6 bhp,5.0,11.15 Lakh,6.21,True,False,False,False,True
Hyundai i20 1.2 Asta,Delhi,2013,71000,First,17.0 kmpl,1197 CC,80 bhp,5.0,,3.65,False,False,True,False,True
Hyundai i20 Sportz Diesel,Delhi,2012,71000,First,23.0 kmpl,1396 CC,90 bhp,5.0,,3.7,True,False,False,False,True
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Pune,2015,50000,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,,30.0,True,False,False,True,False
Hyundai Xcent 1.2 Kappa Base,Kochi,2016,48163,First,19.1 kmpl,1197 CC,82 bhp,5.0,,4.85,False,False,True,False,True
Hyundai Grand i10 AT Asta,Coimbatore,2017,19168,First,18.9 kmpl,1197 CC,82 bhp,5.0,,6.93,False,False,True,True,False
Maruti Alto 800 VXI,Kolkata,2016,26000,First,22.74 kmpl,796 CC,47.3 bhp,5.0,,2.6,False,False,True,False,True
Chevrolet Sail Hatchback 1.2 LS,Kolkata,2014,37400,First,18.2 kmpl,1199 CC,82.5 bhp,5.0,,1.89,False,False,True,False,True
Mercedes-Benz C-Class Progressive C 220d,Mumbai,2018,8682,First,0.0 kmpl,1950 CC,194 bhp,5.0,52.26 Lakh,39.5,True,False,False,True,False
Skoda Superb Elegance 1.8 TSI AT,Mumbai,2012,95000,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,,10.0,False,False,True,True,False
Audi A4 2.0 TDI,Kolkata,2009,34000,First,16.55 kmpl,1968 CC,147.51 bhp,5.0,,9.95,True,False,False,True,False
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Mumbai,2014,95000,Second,12.8 kmpl,2494 CC,102 bhp,8.0,,9.45,True,False,False,False,True
Mercedes-Benz CLA 200 CDI Sport,Coimbatore,2017,13689,First,17.9 kmpl,2143 CC,136 bhp,5.0,,28.25,True,False,False,True,False
Hyundai i10 Era,Jaipur,2008,84000,Second,19.81 kmpl,1086 CC,68.05 bhp,5.0,,1.8,False,False,True,False,True
Maruti Swift Dzire VXi,Kolkata,2008,47000,Second,17.5 kmpl,1298 CC,85.8 bhp,5.0,,1.4,False,False,True,False,True
Skoda Rapid 1.5 TDI AT Ambition,Ahmedabad,2015,60001,First,21.66 kmpl,1498 CC,103.52 bhp,5.0,,7.25,True,False,False,True,False
Maruti Ritz VDi,Hyderabad,2012,96000,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,,3.6,True,False,False,False,True
Hyundai Accent GLS 1.6,Jaipur,2004,47300,Second,14.4 kmpl,1599 CC,94 bhp,5.0,,1.2,False,False,True,False,True
Honda Amaze SX i-VTEC,Coimbatore,2014,28246,Second,17.8 kmpl,1198 CC,86.7 bhp,5.0,,4.94,False,False,True,False,True
Maruti Wagon R LXI,Delhi,2007,65000,Second,18.9 kmpl,998 CC,67.1 bhp,5.0,,1.25,False,False,True,False,True
Volkswagen Polo Diesel Comfortline 1.2L,Chennai,2013,68000,Second,22.07 kmpl,1199 CC,73.9 bhp,5.0,,4.8,True,False,False,False,True
Ford Endeavour 2.2 Trend AT 4X2,Kochi,2019,11209,First,12.62 kmpl,2198 CC,158 bhp,7.0,,31.15,True,False,False,True,False
Hyundai i20 1.2 Sportz,Pune,2011,41980,Second,17.0 kmpl,1197 CC,80 bhp,5.0,,3.3,False,False,True,False,True
Chevrolet Beat Diesel PS,Bangalore,2012,65000,First,25.44 kmpl,936 CC,57.6 bhp,5.0,,2.4,True,False,False,False,True
Honda Civic 2010-2013 1.8 V MT,Kolkata,2010,38000,First,14.8 kmpl,1799 CC,130.2 bhp,5.0,,2.0,False,False,True,False,True
Maruti Wagon R VXI BS IV,Pune,2014,51000,First,20.51 kmpl,998 CC,67.04 bhp,5.0,,3.1,False,False,True,False,True
Skoda Rapid 1.6 MPI Ambition Plus,Kochi,2014,33855,First,15.0 kmpl,1598 CC,103.6 bhp,5.0,,5.09,False,False,True,False,True
Maruti Baleno Vxi - BSIII,Pune,2006,146000,Second,15.4 kmpl,1590 CC,94 bhp,5.0,,1.05,False,False,True,False,True
Ford EcoSport 1.5 TDCi Titanium,Bangalore,2015,47037,Second,22.77 kmpl,1498 CC,98.59 bhp,5.0,,7.0,True,False,False,False,True
Hyundai Accent GLE,Ahmedabad,2010,58000,Second,13.2 kmpl,1495 CC,94 bhp,5.0,,2.5,False,False,True,False,True
BMW 5 Series 520d Luxury Line,Mumbai,2012,61240,First,22.48 kmpl,1995 CC,190 bhp,5.0,70.43 Lakh,17.5,True,False,False,True,False
Maruti Alto K10 2010-2014 VXI,Chennai,2011,91211,First,20.92 kmpl,998 CC,67.1 bhp,5.0,,2.1,False,False,True,False,True
Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Bangalore,2013,84000,First,15.73 kmpl,1968 CC,174.33 bhp,5.0,,17.75,True,False,False,True,False
Toyota Corolla H4,Bangalore,2005,67000,Second,11.3 kmpl,1794 CC,125 bhp,5.0,,2.45,False,False,True,True,False
Volvo XC60 D5,Pune,2011,106976,First,13.5 kmpl,2400 CC,215 bhp,5.0,,13.8,True,False,False,True,False
Honda Jazz 1.5 VX i DTEC,Kolkata,2016,27210,First,27.3 kmpl,1498 CC,98.6 bhp,5.0,,5.85,True,False,False,False,True
Maruti Ciaz 1.3 Alpha,Delhi,2017,26322,First,28.09 kmpl,1248 CC,88.5 bhp,5.0,,8.9,True,False,False,False,True
Maruti Swift VXI BSIV,Mumbai,2016,9107,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,,5.15,False,False,True,False,True
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2015,63983,First,19.27 kmpl,2143 CC,170 bhp,5.0,,16.56,True,False,False,True,False
Maruti Wagon R VXI Minor,Chennai,2010,134000,Second,18.9 kmpl,1061 CC,67 bhp,5.0,,1.65,False,False,True,False,True
Mercedes-Benz A Class A180 Sport,Pune,2015,11000,First,15.5 kmpl,1595 CC,120.7 bhp,5.0,,16.0,False,False,True,True,False
Hyundai Santro Xing GL,Pune,2008,93000,First,0.0 kmpl,1086 CC,62 bhp,5.0,,1.45,False,False,True,False,True
Maruti Swift Dzire AMT ZDI,Coimbatore,2017,24852,First,26.59 kmpl,1248 CC,74 bhp,5.0,,8.08,True,False,False,True,False
Hyundai Grand i10 AT Asta,Pune,2014,37632,First,18.9 kmpl,1197 CC,82 bhp,5.0,,4.5,False,False,True,True,False
Nissan Sunny 2011-2014 XV Special Edition,Chennai,2013,55000,Second,16.95 kmpl,1498 CC,97.7 bhp,5.0,,4.3,False,False,True,False,True
Maruti A-Star Lxi,Hyderabad,2010,81448,First,19.0 kmpl,998 CC,66.1 bhp,5.0,,2.6,False,False,True,False,True
Renault KWID RXT Optional,Hyderabad,2018,1900,First,25.17 kmpl,799 CC,53.3 bhp,5.0,4.8 Lakh,4.45,False,False,True,False,True
Hyundai Verna 1.6 SX VTVT (O) AT,Coimbatore,2012,54957,First,17.1 kmpl,1591 CC,121.4 bhp,5.0,,5.37,False,False,True,True,False
Maruti Wagon R LXI Minor,Chennai,2008,55000,Second,18.9 kmpl,1061 CC,67 bhp,5.0,,1.75,False,False,True,False,True
BMW 3 Series 320d Sport Line,Kolkata,2013,21983,First,18.88 kmpl,1995 CC,184 bhp,5.0,,16.5,True,False,False,True,False
BMW 5 Series 2003-2012 520d,Delhi,2013,76000,First,18.48 kmpl,1995 CC,177 bhp,5.0,,19.0,True,False,False,True,False
Tata Indigo CS eVX,Jaipur,2016,65000,First,25.0 kmpl,1396 CC,69.01 bhp,5.0,,2.8,True,False,False,False,True
Hyundai i20 Sportz 1.4 CRDi,Hyderabad,2015,26000,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,,6.2,True,False,False,False,True
Maruti Omni E MPI STD BS IV,Kochi,2019,11571,First,16.8 kmpl,796 CC,34.2 bhp,8.0,,3.8,False,False,True,False,True
Maruti Swift ZDi,Hyderabad,2014,81000,First,25.2 kmpl,1248 CC,74 bhp,5.0,,6.1,True,False,False,False,True
Ford Ecosport Signature Edition Diesel,Coimbatore,2019,23154,First,23.0 kmpl,1498 CC,98.96 bhp,5.0,12.12 Lakh,11.65,True,False,False,False,True
Honda Brio VX AT,Mumbai,2014,26856,First,16.5 kmpl,1198 CC,86.8 bhp,5.0,,4.15,False,False,True,True,False
Toyota Innova Crysta 2.4 GX MT,Chennai,2017,67489,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,19.37 Lakh,16.5,True,False,False,False,True
Mahindra Scorpio 2.6 LX,Bangalore,2008,176000,Second,10.5 kmpl,2179 CC,120 bhp,8.0,,4.3,True,False,False,False,True
Hyundai i20 1.2 Magna,Kolkata,2010,18000,First,18.5 kmpl,1197 CC,80 bhp,5.0,,2.25,False,False,True,False,True
Hyundai Verna 1.6 SX,Ahmedabad,2014,63003,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,6.75,True,False,False,False,True
Mahindra XUV500 W6 2WD,Chennai,2014,80000,First,15.1 kmpl,2179 CC,140 bhp,7.0,,9.4,True,False,False,False,True
Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,2014,56658,First,20.64 kmpl,1498 CC,108.5 bhp,5.0,12.14 Lakh,5.39,True,False,False,False,True
Maruti Swift Dzire VDI Optional,Kochi,2019,18592,First,26.59 kmpl,1248 CC,74 bhp,5.0,,8.51,True,False,False,False,True
